"","Source","Station","Date","Time","SampleDepth","SampleId","ParameterType","ParameterName","Value","Qualifier","Problem","Description"
"1","JRA","JRA.J08","08/13/2020","10:15 AM",0.3,1,"WaterQuality","AT.2","27.3",NA,NA,"Air Temp (deg C)"
"2","JRA","JRA.J08","08/13/2020","10:15 AM",0.3,1,"WaterQuality","CO.4","220",NA,NA,"Conductivity (uS/cm)"
"3","JRA","JRA.J08","08/13/2020","10:15 AM",0.3,1,"WaterQuality","ECOLI.4","2419.6",NA,NA,"Colilert (CFU/100mL)"
"4","JRA","JRA.J08","08/13/2020","10:15 AM",0.3,1,"WaterQuality","WC.6","4.62",NA,NA,"Turbidity (NTU)"
"5","JRA","JRA.J08","08/13/2020","10:15 AM",0.3,1,"WaterQuality","WT.2","28.4",NA,NA,"Water Temp (deg C)"
"6","JRA","JRA.J08","08/13/2020","10:15 AM",0.3,NA,"Comments","COMMENTS","Cloudy, warm quiet",NA,NA,"Comments (open text)"
"7","JRA","JRA.J21","05/28/2020","12:00 PM",0.3,1,"WaterQuality","AT.2","22.3",NA,NA,"Air Temp (deg C)"
"8","JRA","JRA.J21","05/28/2020","12:00 PM",0.3,1,"WaterQuality","CO.4","130",NA,NA,"Conductivity (uS/cm)"
"9","JRA","JRA.J21","05/28/2020","12:00 PM",0.3,1,"WaterQuality","ECOLI.4","2419.6",NA,NA,"Colilert (CFU/100mL)"
"10","JRA","JRA.J21","05/28/2020","12:00 PM",0.3,1,"WaterQuality","WC.6","18.9",NA,NA,"Turbidity (NTU)"
"11","JRA","JRA.J21","05/28/2020","12:00 PM",0.3,1,"WaterQuality","WT.2","21.1",NA,NA,"Water Temp (deg C)"
"12","JRA","JRA.J21","05/28/2020","12:00 PM",0.3,NA,"Comments","COMMENTS","Light rain and drizzle; park sparsely peopled. Flock of Canada geese and goslings (~15 total) on land.",NA,NA,"Comments (open text)"
"13","JRA","JRA.J08","08/20/2020","11:51 AM",0.3,1,"WaterQuality","AT.2","29.5",NA,NA,"Air Temp (deg C)"
