"","station_description","wat_low","wat_high","air_low","air_high","ecoli_count_low","ecoli_count_high","entero_low","entero_high","turb_low","turb_high","cond_low","cond_high"
"1","14th Street",21.715,31.095,21.32,33.18,34,998.35,NA,NA,1.77,24.3,130,272.5
"2","Buchanan at public boat landing",19,27.4,21.2,33.1,34,996.549999999997,NA,NA,0.9115,24.54,215.5,421.5
"3","Chickahominy Riverfront Park",23.575,31.1,22,34.255,6.3,167,0,88.75,6.305,15.96,120,1263.255
"4","City Point",23.85,31.825,20.4,32.48,33.6985,1141.7945,NA,NA,5.77,49.75,94,316
"5","Deep Creek",22.3,32,23.7,34.65,33.33,939.905999999999,NA,NA,10.9,34.8,NA,NA
"6","Denbigh Boat Ramp",19.2,30,16.5,28.75,33.33,659.933999999997,167,167,19.45,27.55,NA,NA
"7","Farmville Main St Bridge",20.2,25.675,22.18,29.8,0,1199.88,NA,NA,3.2425,63.0899999999999,60,131
"8","Grapevine Bridge",21.16,30.34,17.8,33.38,33.33,359,NA,NA,5.559,16.25,90,190
"9","Hampton River",18.5,30,17.175,31,33.33,767,0,0,0,0.46,NA,NA
"10","Harvell Dam",7.25,31.47,15.2,35.06,34,867,NA,NA,1.407,16.4,80,113.5
"11","Hopewell Rt 10",22.67,31.19,21.7,32.29,4,934,NA,NA,3.466,43.7785,91,260.35
"12","Huguenot Flatwater",21.2,31.2,19.8,31.3,33.33,500.5,NA,NA,1.621,23.7599999999999,105.2,258
"13","James River 42nd Street Access",21.44,30.9,21.5,31.29,33.33,1267,NA,NA,1.26,21.21,130,259
"14","Jamestown Beach",23.84,31.3,22.105,33.825,15.1,167,0,77.75,6.3095,20.53,4.04,898.5
"15","Maury River at Ben Salem Wayside",18.875,28.175,20.375,31,33.33,520.599999999999,NA,NA,0.805,10.6775,214,346
"16","New Canton Public Boat Ramp",21.975,29.455,22.76,31.79,NA,NA,NA,NA,1.355,19.97,135.5,10044.15
"17","Pipeline Rapids",22.6,29.1,21.4,31.6,34,1086.8,NA,NA,1.432,18.66,240,240
"18","Pony Pasture",21.3,31.66,20,31.37,33.33,476.999999999999,NA,NA,1.1795,22,130,260
"19","Powhatan Creek Park",20.5,30,20.8,33.8,34,622.1,60.25,718.25,4.125,10.197,121,568
"20","Reedy Creek",21.56,30.32,19.86,31.24,34,578.604,NA,NA,1.202,20.74,130.5,249.5
"21","Rivanna River at Crofton boat landing",23.08,28.7,21.6,33.46,34,1360.2,NA,NA,1.84,32.8599999999999,NA,NA
"22","Rivanna River at Darden Towe Park",18.03,28.035,18.23,30.87,34,1200,NA,NA,1.7545,64.805,NA,NA
"23","Rivanna River at Riverview Park",19.2,28.395,20.205,30.59,34,2017,NA,NA,1.9885,77.6,330,330
"24","Riveredge Park at Public Boat Landing",18.96,29.26,20.09,31.71,34,350.5,1,1,1.073,18.03,160,380
"25","Riverside Beach",19.65,28.535,19.195,27.74,33.33,200,NA,NA,5.13,49,NA,NA
"26","Robious Landing Park",21.7,32,18.5,32.935,0,489.950999999999,NA,NA,1.45,31.12,136,277
"27","Rocketts Landing",20.4,31.3,22.6,36.4,34,1667,NA,NA,1.93,27.8,120,300
"28","Rope Swing at Tredegar",21.975,30.6,20.9,32.6,33.33,675.25,NA,NA,1.7625,22.275,130,305
"29","Scottsville at Public Boat Landing",20.36,29.94,19.575,31.8,33.732,500,NA,NA,0.9375,17.8,150,320
"30","Tucker Park at Maidens Crossing",20.995,29.81,20.97,31.535,33.8325,534,390,1290,1.509,32.08,130,286
"31",NA,23,32.44,23.06,35.4,34,67,1,149,1.674,29.98,133.5,260
