"","0%","25%","50%","75%","100%"
"14th Street",17.7,25.5,27,29,33.6
"Buchanan at public boat landing",17,22.075,24.15,26.125,28.8
"Chickahominy Riverfront Park",18.9,25.95,28.2,29.325,32.7
"City Point",21,26,28.5,30.1,40.3
"Deep Creek",22,27,28,30,34
"Denbigh Boat Ramp",9,25,27,29,32
"Farmville Main St. Bridge",18.6,22.4,23.8,24.7,27.5
"Grapevine Bridge",17.6,24.75,26.2,27.75,34
"Hampton River",12,24,26.4,28,31
"Harvell Dam",-9,22,26,28.1,33.3
"Hopewell Rt. 10",19.6,24.9,27.4,29.1,33.2
"Huguenot Flatwater",15.4,25.925,27.95,29.375,38.1
"James River 42nd Street Access",15.6,25.45,27.5,29,32.3
"Jamestown Beach",19.2,26.15,27.95,29.425,33.3
"Maury River at Ben Salem Wayside",15,23.1,25.3,26.4,30.1
"New Canton Public Boat Ramp",20.6,25.325,26.9,28.275,30.5
"Pipeline Rapids",21.5,25,26.4,27,31
"Pony Pasture",16.9,26.2,28.1,29.5,32.6
"Powhatan Creek Park",17.4,24.4,26.7,27.925,31
"Reedy Creek",17.4,25.225,27.15,28.3,32.6
"Rivanna River at Crofton boat landing",21.7,25.1,26.3,26.9,29
"Rivanna River at Darden Towe Park",0,23,24.9,26.275,30.8
"Rivanna River at Riverview Park",0,23.475,25.5,26.825,31
"Riveredge Park at Public Boat Landing",13.1,23.625,25.8,27.475,30.4
"Riverside Beach",12,24.5,25.9,27.1,29.1
"Robious Landing Park",20.4,25.825,28.25,30.325,33.3
"Rockett’s Landing",8.8,25.2,27.4,29.3,33.2
"Rope Swing at Tredegar",14,25.25,27,28.525,31.7
"Scottsville at Public Boat Landing",-9,24,26,27.825,32.2
"Tucker Park at Maidens Crossing",19.4,24.3,26.2,28,32.4
